Protein IDs,Majority protein IDs,Gene names,Protein names,Peptides,Sequence coverage [%],Mol. weight [kDa]
P20839,P20839,IMPDH1,Inosine-5-monophosphate dehydrogenase 1,5,13.0,55.405
P20933,P20933,AGA,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase;Glycosylasparaginase alpha chain;Glycosylasparaginase beta chain,5,20.2,37.208
P20936,P20936,RASA1,Ras GTPase-activating protein 1,12,13.8,116.4
P20962,P20962,PTMS,Parathymosin,3,25.5,11.53
P21127,P21127,CDK11B,Cyclin-dependent kinase 11B,11,18.1,92.619
P21246,P21246,PTN,Pleiotrophin,1,9.5,18.942
P21266,P21266,GSTM3,Glutathione S-transferase Mu 3,7,31.1,26.559
P21281;P15313,P21281,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform",21,55.0,56.5
P21283;Q8NEY4,P21283,ATP6V1C1,V-type proton ATPase subunit C 1,17,47.4,43.941
P21291,P21291,CSRP1,Cysteine and glycine-rich protein 1,8,46.6,20.567
P21333,P21333,FLNA,Filamin-A,158,69.9,280.74
P21359,P21359,NF1,Neurofibromin;Neurofibromin truncated,10,5.2,319.37
P21397,P21397,MAOA,Amine oxidase [flavin-containing] A,6,13.7,59.681
P21399,P21399,ACO1,Cytoplasmic aconitate hydratase,16,22.4,98.398
P21439,P21439,ABCB4,Multidrug resistance protein 3,2,2.6,141.52
P21579,P21579,SYT1,Synaptotagmin-1,10,25.1,47.573
P21583,P21583,KITLG,Kit ligand;Soluble KIT ligand,1,4.8,30.898
P21589,P21589,NT5E,5-nucleotidase,6,12.9,63.367
P21695,P21695,GPD1,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",19,63.0,37.567
P21741,P21741,MDK,Midkine,8,53.8,15.585
P21796,P21796,VDAC1,Voltage-dependent anion-selective channel protein 1,21,82.3,30.772
P21810,P21810,BGN,Biglycan,3,12.5,41.654
P21912,P21912,SDHB,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",13,48.9,31.629
P21926,P21926,CD9,CD9 antigen,3,7.5,25.416
P21953,P21953,BCKDHB,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",6,19.1,43.122
P21964,P21964,COMT,Catechol O-methyltransferase,12,62.0,30.037
P22033,P22033,MUT,"Methylmalonyl-CoA mutase, mitochondrial",20,34.4,83.134
P22059;Q969R2,P22059,OSBP,Oxysterol-binding protein 1,14,21.3,89.42
P22061,P22061,PCMT1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,12,56.8,24.636
P22087,P22087,FBL,rRNA 2-O-methyltransferase fibrillarin,13,43.9,33.784
P22090,P22090,RPS4Y1,"40S ribosomal protein S4, Y isoform 1",12,42.6,29.455
P22102,P22102,GART,Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase,34,45.4,107.77
P22234,P22234,PAICS,Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase,21,51.3,47.079
P22304,P22304,IDS,Iduronate 2-sulfatase;Iduronate 2-sulfatase 42 kDa chain;Iduronate 2-sulfatase 14 kDa chain,4,8.4,61.872
P22307,P22307,SCP2,Non-specific lipid-transfer protein,24,43.5,58.993
P22314,P22314,UBA1,Ubiquitin-like modifier-activating enzyme 1,48,52.8,117.85
P22352,P22352,GPX3,Glutathione peroxidase 3,2,11.5,25.552
P22392;O60361,P22392;O60361,NME2;NME2P1,Nucleoside diphosphate kinase B;Putative nucleoside diphosphate kinase,16,83.6,17.298
P22415;Q15853,P22415;Q15853,USF1;USF2,Upstream stimulatory factor 1;Upstream stimulatory factor 2,1,3.2,33.538
P22455,P22455,FGFR4,Fibroblast growth factor receptor 4,3,5.0,87.953
P22570,P22570,FDXR,"NADPH:adrenodoxin oxidoreductase, mitochondrial",24,59.7,53.836
P22607,P22607,FGFR3,Fibroblast growth factor receptor 3,4,5.7,87.709
P22626,P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,25,60.9,37.429
P22670,P22670,RFX1,MHC class II regulatory factor RFX1,3,4.9,104.76
P22681,P22681,CBL,E3 ubiquitin-protein ligase CBL,7,10.6,99.632
P22692,P22692,IGFBP4,Insulin-like growth factor-binding protein 4,2,8.5,27.934
P22695,P22695,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial",16,43.9,48.442
P22830,P22830,FECH,"Ferrochelatase, mitochondrial",12,32.9,47.862
P23025,P23025,XPA,DNA repair protein complementing XP-A cells,2,13.6,31.368
P23142,P23142,FBLN1,Fibulin-1,3,5.5,77.213
P23193;Q15560,P23193,TCEA1,Transcription elongation factor A protein 1,13,49.2,33.969
P23229,P23229,ITGA6,Integrin alpha-6;Integrin alpha-6 heavy chain;Integrin alpha-6 light chain;Processed integrin alpha-6,10,10.6,126.6
P23246,P23246,SFPQ,"Splicing factor, proline- and glutamine-rich",26,33.7,76.149
P23258;Q9NRH3,P23258;Q9NRH3,TUBG1;TUBG2,Tubulin gamma-1 chain;Tubulin gamma-2 chain,8,26.8,51.169
P23284,P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B,17,57.9,23.742
P23352,P23352,KAL1,Anosmin-1,5,9.6,76.111
P23368,P23368,ME2,"NAD-dependent malic enzyme, mitochondrial",26,56.3,65.443
P23378,P23378,GLDC,"Glycine dehydrogenase (decarboxylating), mitochondrial",21,32.3,112.73
P23381,P23381,WARS,"Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS",21,59.2,53.165
P23396,P23396,RPS3,40S ribosomal protein S3,27,86.4,26.688
P23434,P23434,GCSH,"Glycine cleavage system H protein, mitochondrial",2,17.3,18.884
P23443;Q9UBS0,P23443;Q9UBS0,RPS6KB1;RPS6KB2,Ribosomal protein S6 kinase beta-1;Ribosomal protein S6 kinase beta-2,2,4.2,59.139
P23458,P23458,JAK1,Tyrosine-protein kinase JAK1,4,3.8,133.28
P23469,P23469,PTPRE,Receptor-type tyrosine-protein phosphatase epsilon,3,4.1,80.641
P23471,P23471,PTPRZ1,Receptor-type tyrosine-protein phosphatase zeta,24,14.0,254.58
P23508,P23508,MCC,Colorectal mutant cancer protein,1,1.9,93.026
P23526,P23526,AHCY,Adenosylhomocysteinase,25,50.9,47.716
P23528,P23528,CFL1,Cofilin-1,14,65.7,18.502
P23560,P23560,BDNF,Brain-derived neurotrophic factor,3,13.8,27.818
P23588,P23588,EIF4B,Eukaryotic translation initiation factor 4B,8,18.8,69.15
P23610,P23610,F8A1,Factor VIII intron 22 protein,1,6.5,39.103
P23634,P23634,ATP2B4,Plasma membrane calcium-transporting ATPase 4,29,29.7,137.92
P23743,P23743,DGKA,Diacylglycerol kinase alpha,8,14.3,82.629
P23786,P23786,CPT2,"Carnitine O-palmitoyltransferase 2, mitochondrial",21,37.1,73.776
P23919,P23919,DTYMK,Thymidylate kinase,7,32.1,23.819
P23921,P23921,RRM1,Ribonucleoside-diphosphate reductase large subunit,22,39.0,90.069
P24386,P24386,CHM,Rab proteins geranylgeranyltransferase component A 1,2,4.4,73.475
P24468,P24468,NR2F2,COUP transcription factor 2,4,11.4,45.571
P24534,P24534,EEF1B2,Elongation factor 1-beta,12,64.0,24.763
P24539,P24539,ATP5F1,"ATP synthase F(0) complex subunit B1, mitochondrial",9,36.7,28.908
P24593,P24593,IGFBP5,Insulin-like growth factor-binding protein 5,4,25.0,30.57
P24666,P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase,10,74.7,18.042
P24752,P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",19,56.4,45.199
P24821,P24821,TNC,Tenascin,30,20.5,240.85
P24928,P24928,POLR2A,DNA-directed RNA polymerase II subunit RPB1,25,16.2,217.17
P25054,P25054,APC,Adenomatous polyposis coli protein,1,0.5,311.64
P25098;P35626,P25098;P35626,ADRBK1;ADRBK2,Beta-adrenergic receptor kinase 1;Beta-adrenergic receptor kinase 2,4,6.8,79.573
P25205,P25205,MCM3,DNA replication licensing factor MCM3,29,43.1,90.98
P25325,P25325,MPST,3-mercaptopyruvate sulfurtransferase,5,20.5,33.178
P25391,P25391,LAMA1,Laminin subunit alpha-1,28,11.2,337.08
P25398,P25398,RPS12,40S ribosomal protein S12,8,71.2,14.515
P25440,P25440,BRD2,Bromodomain-containing protein 2,10,16.7,88.06
P25445,P25445,FAS,Tumor necrosis factor receptor superfamily member 6,5,23.0,37.732
P25490;O15391,P25490;O15391,YY1;YY2,Transcriptional repressor protein YY1;Transcription factor YY2,2,7.5,44.712
P25685,P25685,DNAJB1,DnaJ homolog subfamily B member 1,14,38.8,38.044
P25686,P25686,DNAJB2,DnaJ homolog subfamily B member 2,4,13.3,35.58
P25705,P25705,ATP5A1,"ATP synthase subunit alpha, mitochondrial",38,70.0,59.75
P25786,P25786,PSMA1,Proteasome subunit alpha type-1,18,79.8,29.555
P25787,P25787,PSMA2,Proteasome subunit alpha type-2,11,62.8,25.898
P25788,P25788,PSMA3,Proteasome subunit alpha type-3,10,50.2,28.433
P25789,P25789,PSMA4,Proteasome subunit alpha type-4,10,49.0,29.483
P26006,P26006,ITGA3,Integrin alpha-3;Integrin alpha-3 heavy chain;Integrin alpha-3 light chain,8,9.4,116.61
P26012,P26012,ITGB8,Integrin beta-8,12,19.6,85.631
P26038,P26038,MSN,Moesin,41,63.3,67.819
P26196,P26196,DDX6,Probable ATP-dependent RNA helicase DDX6,21,48.2,54.416
P26232,P26232,CTNNA2,Catenin alpha-2,32,45.1,105.31
P26358,P26358,DNMT1,DNA (cytosine-5)-methyltransferase 1,8,7.1,183.16
P26367,P26367,PAX6,Paired box protein Pax-6,3,7.3,46.683
P26368,P26368,U2AF2,Splicing factor U2AF 65 kDa subunit,14,48.6,53.5
P26373,P26373,RPL13,60S ribosomal protein L13,14,49.8,24.261
P26374,P26374,CHML,Rab proteins geranylgeranyltransferase component A 2,2,4.3,74.071
P26378,P26378,ELAVL4,ELAV-like protein 4,18,47.6,41.769
P26440,P26440,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial",16,39.9,46.65
P26447,P26447,S100A4,Protein S100-A4,2,18.8,11.728
P26583,P26583,HMGB2,High mobility group protein B2,10,40.2,24.033
P26599,P26599,PTBP1,Polypyrimidine tract-binding protein 1,17,47.5,57.221
P26639,P26639,TARS,"Threonine--tRNA ligase, cytoplasmic",27,41.9,83.434
P26640,P26640,VARS,Valine--tRNA ligase,27,25.4,140.47
P26641,P26641,EEF1G,Elongation factor 1-gamma,18,41.0,50.118
P26885,P26885,FKBP2,Peptidyl-prolyl cis-trans isomerase FKBP2,6,59.9,15.649
P26992,P26992,CNTFR,Ciliary neurotrophic factor receptor subunit alpha,4,16.9,40.633
P27037,P27037,ACVR2A,Activin receptor type-2A,2,5.1,57.847
P27105,P27105,STOM,Erythrocyte band 7 integral membrane protein,5,21.5,31.73
P27144,P27144,AK4,"Adenylate kinase 4, mitochondrial",8,44.8,25.268
P27338,P27338,MAOB,Amine oxidase [flavin-containing] B,22,50.8,58.762
P27348,P27348,YWHAQ,14-3-3 protein theta,18,69.8,27.764
P27361,P27361,MAPK3,Mitogen-activated protein kinase 3,15,35.1,43.135
P27448,P27448,MARK3,MAP/microtubule affinity-regulating kinase 3,11,19.4,84.428
P27544,P27544,CERS1,Ceramide synthase 1,6,20.6,39.536
P27635;Q96L21,P27635;Q96L21,RPL10;RPL10L,60S ribosomal protein L10;60S ribosomal protein L10-like,18,61.2,24.604
P27694,P27694,RPA1,"Replication protein A 70 kDa DNA-binding subunit;Replication protein A 70 kDa DNA-binding subunit, N-terminally processed",19,45.3,68.137
P27695,P27695,APEX1,"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial",16,62.6,35.554
P27707,P27707,DCK,Deoxycytidine kinase,6,26.5,30.518
P27708,P27708,CAD,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,43,27.4,242.98
P27797,P27797,CALR,Calreticulin,27,64.5,48.141
P27816,P27816,MAP4,Microtubule-associated protein 4,44,51.8,121.0
P27824,P27824,CANX,Calnexin,29,40.4,67.567
P27986,P27986,PIK3R1,Phosphatidylinositol 3-kinase regulatory subunit alpha,5,8.4,83.597
P27987;Q96DU7,P27987,ITPKB,Inositol-trisphosphate 3-kinase B,6,8.1,102.38
P28062,P28062,PSMB8,Proteasome subunit beta type-8,3,15.6,30.354
P28066,P28066,PSMA5,Proteasome subunit alpha type-5,11,56.4,26.411
P28070,P28070,PSMB4,Proteasome subunit beta type-4,12,56.1,29.204
P28072,P28072,PSMB6,Proteasome subunit beta type-6,8,34.3,25.357
P28074,P28074,PSMB5,Proteasome subunit beta type-5,9,46.4,28.48
P28161,P28161,GSTM2,Glutathione S-transferase Mu 2,14,75.7,25.744
P28288,P28288,ABCD3,ATP-binding cassette sub-family D member 3,13,23.5,75.475
P28289,P28289,TMOD1,Tropomodulin-1,9,33.7,40.569
P28328,P28328,PEX2,Peroxisome biogenesis factor 2,1,3.6,34.842
P28331,P28331,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",32,57.4,79.467
P28340,P28340,POLD1,DNA polymerase delta catalytic subunit,11,12.4,123.63
P28347;Q15561;Q99594;Q15562,P28347;Q15561;Q99594;Q15562,TEAD1;TEAD4;TEAD3;TEAD2,Transcriptional enhancer factor TEF-1;Transcriptional enhancer factor TEF-3;Transcriptional enhancer factor TEF-5;Transcriptional enhancer factor TEF-4,3,6.8,47.945
P28370,P28370,SMARCA1,Probable global transcription activator SNF2L1,28,24.9,122.6
P28482,P28482,MAPK1,Mitogen-activated protein kinase 1,22,73.1,41.389
P28676,P28676,GCA,Grancalcin,5,27.6,24.01
P28702;P48443,P28702,RXRB,Retinoic acid receptor RXR-beta,4,11.4,56.921
P28715,P28715,ERCC5,DNA repair protein complementing XP-G cells,1,0.8,133.11
P28799,P28799,GRN,Granulins;Acrogranin;Paragranulin;Granulin-1;Granulin-2;Granulin-3;Granulin-4;Granulin-5;Granulin-6;Granulin-7,4,7.6,63.544
P28838,P28838,LAP3,Cytosol aminopeptidase,27,56.3,56.166
P28906,P28906,CD34,Hematopoietic progenitor cell antigen CD34,3,15.1,40.716
P29083,P29083,GTF2E1,General transcription factor IIE subunit 1,6,15.3,49.452
P29084,P29084,GTF2E2,Transcription initiation factor IIE subunit beta,3,11.0,33.043
P29120,P29120,PCSK1,Neuroendocrine convertase 1,4,6.8,84.151
P29144,P29144,TPP2,Tripeptidyl-peptidase 2,25,23.5,138.35
P29218,P29218,IMPA1,Inositol monophosphatase 1,12,52.3,30.188
P29279,P29279,CTGF,Connective tissue growth factor,6,22.1,38.091
P29317,P29317,EPHA2,Ephrin type-A receptor 2,8,10.5,108.27
P29320,P29320,EPHA3,Ephrin type-A receptor 3,11,14.6,110.13
P29323;P54762;Q9UF33,P29323,EPHB2,Ephrin type-B receptor 2,14,17.4,117.49
P29353;P98077,P29353,SHC1,SHC-transforming protein 1,3,7.9,62.821
P29372,P29372,MPG,DNA-3-methyladenine glycosylase,4,22.1,32.868
P29373,P29373,CRABP2,Cellular retinoic acid-binding protein 2,10,59.4,15.693
P29375,P29375,KDM5A,Lysine-specific demethylase 5A,2,1.4,192.09
P29401,P29401,TKT,Transketolase,33,64.7,67.877
P29558;Q6XE24,P29558,RBMS1,"RNA-binding motif, single-stranded-interacting protein 1",3,9.6,44.505
P29590,P29590,PML,Protein PML,5,7.1,97.55
P29692,P29692,EEF1D,Elongation factor 1-delta,19,72.6,31.121
P29762,P29762,CRABP1,Cellular retinoic acid-binding protein 1,16,92.0,15.565
P29966,P29966,MARCKS,Myristoylated alanine-rich C-kinase substrate,14,66.3,31.554
P29992,P29992,GNA11,Guanine nucleotide-binding protein subunit alpha-11,9,30.1,42.123
P30038,P30038,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",30,60.6,61.719
P30039,P30039,PBLD,Phenazine biosynthesis-like domain-containing protein,5,23.3,31.785
P30040,P30040,ERP29,Endoplasmic reticulum resident protein 29,13,56.3,28.993
P30041,P30041,PRDX6,Peroxiredoxin-6,21,81.7,25.035
P30043,P30043,BLVRB,Flavin reductase (NADPH),9,58.7,22.119
P30044,P30044,PRDX5,"Peroxiredoxin-5, mitochondrial",12,57.5,22.086
P30046;A6NHG4,P30046;A6NHG4,DDT;DDTL,D-dopachrome decarboxylase;D-dopachrome decarboxylase-like protein,6,60.2,12.712
P30048,P30048,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",12,57.8,27.692
P30049,P30049,ATP5D,"ATP synthase subunit delta, mitochondrial",3,17.3,17.49
P30050,P30050,RPL12,60S ribosomal protein L12,8,61.2,17.818
P30084,P30084,ECHS1,"Enoyl-CoA hydratase, mitochondrial",15,57.6,31.387
P30085,P30085,CMPK1,UMP-CMP kinase,11,51.5,22.222
P30086,P30086,PEBP1,Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide,13,85.0,21.057
P30101,P30101,PDIA3,Protein disulfide-isomerase A3,40,70.5,56.782
P30153,P30153,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,32,57.0,65.308
P30154,P30154,PPP2R1B,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,11,24.3,66.213
P30260,P30260,CDC27,Cell division cycle protein 27 homolog,7,10.6,91.866
P30405,P30405,PPIF,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",6,38.6,22.04
P30414,P30414,NKTR,NK-tumor recognition protein;Putative peptidyl-prolyl cis-trans isomerase,2,1.6,165.67
P30419,P30419,NMT1,Glycylpeptide N-tetradecanoyltransferase 1,9,24.2,56.806
P30519,P30519,HMOX2,Heme oxygenase 2,12,45.6,36.032
P30520,P30520,ADSS,Adenylosuccinate synthetase isozyme 2,13,38.4,50.097
P30533,P30533,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,11,31.9,41.465
P30536,P30536,TSPO,Translocator protein,3,13.6,18.828
P30566,P30566,ADSL,Adenylosuccinate lyase,12,33.9,54.889
P30622,P30622,CLIP1,CAP-Gly domain-containing linker protein 1,26,22.1,162.24
P30626,P30626,SRI,Sorcin,14,68.2,21.676
P30711;P0CG30;P0CG29,P30711,GSTT1,Glutathione S-transferase theta-1,4,17.5,27.335
P30740,P30740,SERPINB1,Leukocyte elastase inhibitor,5,16.6,42.741
P30825,P30825,SLC7A1,High affinity cationic amino acid transporter 1,1,1.7,67.638
P30837,P30837,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial",13,35.2,57.206
P30876,P30876,POLR2B,DNA-directed RNA polymerase II subunit RPB2,24,23.6,133.9
P31040,P31040,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",21,40.7,72.691
P31146,P31146,CORO1A,Coronin-1A,6,16.5,51.026
P31150,P31150,GDI1,Rab GDP dissociation inhibitor alpha,34,84.6,50.582
P31153;Q00266,P31153,MAT2A,S-adenosylmethionine synthase isoform type-2,11,35.4,43.66
P31321,P31321,PRKAR1B,cAMP-dependent protein kinase type I-beta regulatory subunit,5,13.9,43.072
P31323,P31323,PRKAR2B,cAMP-dependent protein kinase type II-beta regulatory subunit,15,43.3,46.302
P31327,P31327,CPS1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",31,26.0,164.94
P31483,P31483,TIA1,Nucleolysin TIA-1 isoform p40,8,28.8,42.963
P31689,P31689,DNAJA1,DnaJ homolog subfamily A member 1,19,55.7,44.868
P31749,P31749,AKT1,RAC-alpha serine/threonine-protein kinase,3,7.7,55.686
P31751,P31751,AKT2,RAC-beta serine/threonine-protein kinase,7,17.5,55.768
P31930,P31930,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial",22,50.4,52.645
P31937,P31937,HIBADH,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",9,40.8,35.329
P31939,P31939,ATIC,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,40,81.8,64.615
P31942,P31942,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3,10,31.8,36.926
P31943,P31943,HNRNPH1,"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed",21,52.6,49.229
P31946,P31946,YWHAB,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",15,64.2,28.082
P31947,P31947,SFN,14-3-3 protein sigma,4,14.9,27.774
P31948,P31948,STIP1,Stress-induced-phosphoprotein 1,31,59.9,62.639
P31949,P31949,S100A11,"Protein S100-A11;Protein S100-A11, N-terminally processed",4,41.0,11.74
P32004,P32004,L1CAM,Neural cell adhesion molecule L1,14,15.4,140.0
P32019,P32019,INPP5B,"Type II inositol 1,4,5-trisphosphate 5-phosphatase",2,2.4,112.85
P32119,P32119,PRDX2,Peroxiredoxin-2,16,70.2,21.892
P32121,P32121,ARRB2,Beta-arrestin-2,6,19.6,46.105
P32189;Q14409;Q14410,P32189;Q14409,GK;GK3P,Glycerol kinase;Putative glycerol kinase 3,7,16.1,61.244
P32320,P32320,CDA,Cytidine deaminase,1,11.6,16.185
P32321,P32321,DCTD,Deoxycytidylate deaminase,7,50.6,20.016
P32322,P32322,PYCR1,"Pyrroline-5-carboxylate reductase 1, mitochondrial",16,57.4,33.36
P32418,P32418,SLC8A1,Sodium/calcium exchanger 1,1,2.0,108.55
P32780,P32780,GTF2H1,General transcription factor IIH subunit 1,5,10.6,62.031
P32856,P32856,STX2,Syntaxin-2,2,10.4,33.341
P32929,P32929,CTH,Cystathionine gamma-lyase,8,24.4,44.508
P32969,P32969,RPL9,60S ribosomal protein L9,10,53.1,21.863
P33121;Q9ULC5,P33121,ACSL1,Long-chain-fatty-acid--CoA ligase 1,6,10.9,77.942
P33176,P33176,KIF5B,Kinesin-1 heavy chain,46,55.2,109.68
P33240,P33240,CSTF2,Cleavage stimulation factor subunit 2,13,28.8,60.959
P33316,P33316,DUT,"Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial",6,38.9,26.563
P33527,P33527,ABCC1,Multidrug resistance-associated protein 1,16,15.2,171.59
P33552,P33552,CKS2,Cyclin-dependent kinases regulatory subunit 2,1,11.4,9.8602
P33897;Q9UBJ2,P33897,ABCD1,ATP-binding cassette sub-family D member 1,4,7.7,82.936
P33981,P33981,TTK,Dual specificity protein kinase TTK,1,2.2,97.071
P33991,P33991,MCM4,DNA replication licensing factor MCM4,21,30.2,96.557
P33992,P33992,MCM5,DNA replication licensing factor MCM5,26,43.6,82.285
P33993,P33993,MCM7,DNA replication licensing factor MCM7,19,30.9,81.307
P34059,P34059,GALNS,N-acetylgalactosamine-6-sulfatase,3,6.1,58.025
P34741,P34741,SDC2,Syndecan-2,1,7.0,22.16
P34896,P34896,SHMT1,"Serine hydroxymethyltransferase, cytosolic",9,24.0,53.082
P34897,P34897,SHMT2,"Serine hydroxymethyltransferase, mitochondrial",32,67.7,55.992
P34913,P34913,EPHX2,Bifunctional epoxide hydrolase 2;Cytosolic epoxide hydrolase 2;Lipid-phosphate phosphatase,6,15.3,62.615
P34932,P34932,HSPA4,Heat shock 70 kDa protein 4,49,59.5,94.33
P34947;P32298,P34947,GRK5,G protein-coupled receptor kinase 5,8,18.1,67.786
P34949,P34949,MPI,Mannose-6-phosphate isomerase,11,37.1,46.655
P35052,P35052,GPC1,Glypican-1;Secreted glypican-1,9,26.5,61.68
P35080,P35080,PFN2,Profilin-2,5,40.0,15.046
P35221;Q9UI47,P35221,CTNNA1,Catenin alpha-1,40,60.6,100.07
P35222,P35222,CTNNB1,Catenin beta-1,22,39.2,85.496
P35227;P35226,P35227;P35226,PCGF2;BMI1,Polycomb group RING finger protein 2;Polycomb complex protein BMI-1,4,10.8,37.788
P35232,P35232,PHB,Prohibitin,22,77.6,29.804
P35237,P35237,SERPINB6,Serpin B6,19,59.8,42.621
P35240,P35240,NF2,Merlin,6,11.3,69.689
P35241,P35241,RDX,Radixin,30,45.8,68.563
P35244,P35244,RPA3,Replication protein A 14 kDa subunit,5,52.1,13.569
P35249,P35249,RFC4,Replication factor C subunit 4,13,47.1,39.681
P35250,P35250,RFC2,Replication factor C subunit 2,13,48.9,39.157
P35251,P35251,RFC1,Replication factor C subunit 1,16,19.3,128.25
P35268,P35268,RPL22,60S ribosomal protein L22,6,58.6,14.787
P35269,P35269,GTF2F1,General transcription factor IIF subunit 1,9,19.0,58.24
P35442,P35442,THBS2,Thrombospondin-2,2,2.3,129.99
P35475,P35475,IDUA,Alpha-L-iduronidase,4,8.1,72.669
P35556;P35555,P35556,FBN2,Fibrillin-2,6,3.4,314.77
P35558,P35558,PCK1,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",10,18.2,69.194
P35573,P35573,AGL,"Glycogen debranching enzyme;4-alpha-glucanotransferase;Amylo-alpha-1,6-glucosidase",26,20.0,174.76
P35580;P13535;P11055,P35580,MYH10,Myosin-10,121,59.7,229.0
P35606,P35606,COPB2,Coatomer subunit beta,37,48.8,102.49
P35610,P35610,SOAT1,Sterol O-acyltransferase 1,3,9.3,64.734
P35611,P35611,ADD1,Alpha-adducin,17,33.1,80.954
P35612,P35612,ADD2,Beta-adducin,13,24.5,80.853
P35613,P35613,BSG,Basigin,5,23.4,42.2
P35625,P35625,TIMP3,Metalloproteinase inhibitor 3,2,11.4,24.145
P35637,P35637,FUS,RNA-binding protein FUS,7,13.3,53.425
P35658,P35658,NUP214,Nuclear pore complex protein Nup214,28,19.7,213.62
P35659,P35659,DEK,Protein DEK,16,42.4,42.674
P35711,P35711,SOX5,Transcription factor SOX-5,3,6.2,84.025
P35754,P35754,GLRX,Glutaredoxin-1,5,51.9,11.776
P35790,P35790,CHKA,Choline kinase alpha,1,3.1,52.248
P35813,P35813,PPM1A,Protein phosphatase 1A,6,19.6,42.447
P35914;Q8TB92,P35914,HMGCL,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",11,38.5,34.36
P35998,P35998,PSMC2,26S protease regulatory subunit 7,29,67.2,48.633
P36021,P36021,SLC16A2,Monocarboxylate transporter 8,2,6.3,59.511
P36404,P36404,ARL2,ADP-ribosylation factor-like protein 2,4,27.7,20.878
P36405,P36405,ARL3,ADP-ribosylation factor-like protein 3,7,54.9,20.455
P36406,P36406,TRIM23,E3 ubiquitin-protein ligase TRIM23,1,1.7,64.066
P36507;A0A1B0GUL7,P36507;A0A1B0GUL7,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2,14,43.5,44.424
P36542,P36542,ATP5C1,"ATP synthase subunit gamma, mitochondrial",13,41.3,32.996
P36543;Q96A05,P36543,ATP6V1E1,V-type proton ATPase subunit E 1,11,54.4,26.145
P36551,P36551,CPOX,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",8,26.2,50.151
P36578,P36578,RPL4,60S ribosomal protein L4,23,47.1,47.697
P36639,P36639,NUDT1,"7,8-dihydro-8-oxoguanine triphosphatase",2,14.2,22.519
P36776,P36776,LONP1,"Lon protease homolog, mitochondrial",31,36.7,106.49
P36871,P36871,PGM1,Phosphoglucomutase-1,23,51.2,61.448
P36873,P36873,PPP1CC,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,16,62.5,36.983
P36897,P36897,TGFBR1,TGF-beta receptor type-1,2,4.4,55.959
P36915,P36915,GNL1,Guanine nucleotide-binding protein-like 1,13,26.9,68.66
P36954,P36954,POLR2I,DNA-directed RNA polymerase II subunit RPB9,4,40.8,14.523
