Protein_IDs,Gene_names,Protein_names,3P_1,3P_2,3P_3,SIC_1,SIC_2,SIC_3
P41091;Q2VIR3,EIF2S3;EIF2S3L,Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein,282710000,267840000,279820000,309300000,307810000,306040000
P41208;Q12798,CETN2,Centrin-2,140750000,144160000,164770000,30390000,31788000,24859000
P41214,EIF2D,Eukaryotic translation initiation factor 2D,3999200,6138200,3103000,4916300,6824500,4703200
P41217,CD200,OX-2 membrane glycoprotein,31076000,22350000,23082000,33334000,35017000,23861000
P41219,PRPH,Peripherin,62315000,40946000,49891000,64131000,56144000,62146000
P41221,WNT5A,Protein Wnt-5a,0,9085800,0,0,0,0
P41222,PTGDS,Prostaglandin-H2 D-isomerase,0,0,0,0,0,1638100
P41223,BUD31,Protein BUD31 homolog,20010000,21940000,25405000,28908000,30350000,31661000
P41225;O95416;O00570,SOX3;SOX14;SOX1,Transcription factor SOX-3;Transcription factor SOX-14;Transcription factor SOX-1,0,0,0,0,0,7871900
P41227;Q9BSU3,NAA10,N-alpha-acetyltransferase 10,35373000,32601000,31313000,37686000,51297000,23369000
P41229,KDM5C,Lysine-specific demethylase 5C,0,0,0,2088200,0,0
P41236;Q6NXS1,PPP1R2;PPP1R2P3,Protein phosphatase inhibitor 2;Protein phosphatase inhibitor 2-like protein 3,15158000,13051000,12029000,9838400,10469000,8131800
P41240;P42679,CSK,Tyrosine-protein kinase CSK,33524000,28500000,23201000,50459000,67488000,47489000
P41247,PNPLA4,Patatin-like phospholipase domain-containing protein 4,0,0,0,0,1361600,1438000
P41250,GARS,Glycine--tRNA ligase,519090000,411970000,394900000,474760000,441550000,470770000
P41252,IARS,"Isoleucine--tRNA ligase, cytoplasmic",445230000,429600000,402500000,473000000,501320000,450540000
P41567,EIF1,Eukaryotic translation initiation factor 1,101700000,107480000,80959000,71218000,127930000,75988000
P41743,PRKCI,Protein kinase C iota type,4888400,5880300,4850500,6271300,8086000,6110100
P42025,ACTR1B,Beta-centractin,62493000,39409000,35188000,28098000,35853000,32702000
P42126,ECI1,"Enoyl-CoA delta isomerase 1, mitochondrial",125560000,117480000,127950000,75087000,57955000,74675000
P42166,TMPO,"Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin",188690000,152770000,167140000,349810000,335500000,326760000
P42285,SKIV2L2,Superkiller viralicidic activity 2-like 2,34660000,37164000,28653000,67756000,72268000,65184000
P42336,PIK3CA,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",4119200,0,3257600,3884700,4330700,2894100
P42345,MTOR,Serine/threonine-protein kinase mTOR,22785000,28906000,22231000,30177000,33093000,24728000
P42356;A4QPH2;Q8N8J0,PI4KA,Phosphatidylinositol 4-kinase alpha,9707800,11232000,10444000,6676600,8103600,5876400
P42566,EPS15,Epidermal growth factor receptor substrate 15,51194000,41147000,34483000,23318000,27025000,24866000
P42574,CASP3,Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12,21073000,16099000,8947600,9013800,10969000,8508700
P42658,DPP6,Dipeptidyl aminopeptidase-like protein 6,6424100,4383500,6278200,0,0,0
P42677,RPS27,40S ribosomal protein S27,69343000,79053000,87361000,113640000,97758000,138590000
P42684,ABL2,Abelson tyrosine-protein kinase 2,0,0,1342500,2306100,1680000,1608600
P42694,HELZ,Probable helicase with zinc finger domain,2570400,1987400,3383400,2500100,3170900,3406800
P42696,RBM34,RNA-binding protein 34,5896500,7555300,8001200,18079000,16656000,19365000
P42704,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",956530000,1014700000,1186800000,1707400000,1578200000,1741100000
P42765,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial",230850000,214790000,222780000,165960000,174460000,181030000
P42766,RPL35,60S ribosomal protein L35,117440000,97871000,161910000,169940000,146260000,210500000
P42785,PRCP,Lysosomal Pro-X carboxypeptidase,277500000,224020000,328600000,63097000,72494000,78104000
P42858,HTT,Huntingtin,10699000,10844000,12850000,16010000,19413000,16802000
P42892,ECE1,Endothelin-converting enzyme 1,8946700,7693700,11556000,10369000,11045000,9810600
P42898,MTHFR,Methylenetetrahydrofolate reductase,6573400,7845900,4932000,5383100,6314500,5117400
P43003;P48664,SLC1A3,Excitatory amino acid transporter 1,131460000,114260000,131960000,53185000,72677000,45926000
P43007,SLC1A4,Neutral amino acid transporter A,24137000,26128000,17098000,11743000,15262000,11139000
P43034,PAFAH1B1,Platelet-activating factor acetylhydrolase IB subunit alpha,498040000,477740000,414240000,481520000,539610000,515110000
P43121,MCAM,Cell surface glycoprotein MUC18,114410000,146220000,126050000,133510000,113350000,137310000
P43146,DCC,Netrin receptor DCC,0,0,0,5659000,6474200,8450600
P43155,CRAT,Carnitine O-acetyltransferase,129040000,182800000,153860000,102260000,86966000,86731000
P43234,CTSO,Cathepsin O,1851700,2939800,2755700,0,0,0
P43243,MATR3,Matrin-3,1645800000,1387400000,1921800000,1869300000,1779900000,2100800000
P43246,MSH2,DNA mismatch repair protein Msh2,42497000,37466000,39539000,129480000,120630000,128330000
P43304,GPD2,"Glycerol-3-phosphate dehydrogenase, mitochondrial",48270000,58137000,54286000,35827000,38858000,30562000
P43307,SSR1,Translocon-associated protein subunit alpha,87741000,93440000,86211000,91610000,55057000,88649000
P43308,SSR2,Translocon-associated protein subunit beta,0,0,0,0,0,1864200
P43378,PTPN9,Tyrosine-protein phosphatase non-receptor type 9,3217100,3534500,3739700,4122300,4427100,2580500
P43487,RANBP1,Ran-specific GTPase-activating protein,165330000,158560000,119430000,205150000,311250000,194650000
P43490,NAMPT,Nicotinamide phosphoribosyltransferase,1026000000,898750000,834390000,285350000,311900000,252040000
P43686,PSMC4,26S protease regulatory subunit 6B,283340000,297300000,255380000,274830000,256010000,267670000
P43897,TSFM,"Elongation factor Ts, mitochondrial",59113000,62609000,69364000,57850000,59217000,61450000
P45877,PPIC,Peptidyl-prolyl cis-trans isomerase C,11048000,11079000,11202000,9791100,10800000,9455000
P45880,VDAC2,Voltage-dependent anion-selective channel protein 2,1309200000,1449800000,1583300000,2035600000,2325400000,2007500000
P45954,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",55610000,66453000,65303000,62823000,55407000,59402000
P45973,CBX5,Chromobox protein homolog 5,175560000,191490000,207020000,290200000,346430000,387850000
P45974,USP5,Ubiquitin carboxyl-terminal hydrolase 5,435290000,348290000,326040000,296340000,291090000,282470000
P45983,MAPK8,Mitogen-activated protein kinase 8,17101000,15976000,11532000,30047000,34206000,25923000
P45984,MAPK9,Mitogen-activated protein kinase 9,0,0,0,0,0,4265200
P45985,MAP2K4,Dual specificity mitogen-activated protein kinase kinase 4,59416000,54825000,41461000,40249000,38986000,31196000
P46013,MKI67,Antigen KI-67,6207600,7441600,7556500,21937000,28086000,19356000
P46019,PHKA2,"Phosphorylase b kinase regulatory subunit alpha, liver isoform",3550300,3542900,2451700,2673100,2866800,2914500
P46020,PHKA1,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",1309500,0,1532900,0,0,0
P46060,RANGAP1,Ran GTPase-activating protein 1,170640000,154960000,167680000,240340000,256220000,250250000
P46063,RECQL,ATP-dependent DNA helicase Q1,30495000,37615000,33099000,37648000,46167000,36677000
P46087,NOP2,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,44182000,53809000,53162000,110570000,93143000,93677000
P46100,ATRX,Transcriptional regulator ATRX,36153000,38739000,36993000,49511000,49138000,50357000
P46108,CRK,Adapter molecule crk,108910000,104870000,96819000,61621000,76812000,60941000
P46109,CRKL,Crk-like protein,198650000,190620000,153540000,162380000,180910000,129170000
P46199,MTIF2,"Translation initiation factor IF-2, mitochondrial",9851000,9099300,6411400,11335000,10539000,11343000
P46379,BAG6,Large proline-rich protein BAG6,21749000,18847000,19478000,18895000,24939000,20038000
P46459,NSF,Vesicle-fusing ATPase,373510000,353310000,350230000,344030000,350310000,335130000
P46527,CDKN1B,Cyclin-dependent kinase inhibitor 1B,0,0,0,0,0,1219100
P46531,NOTCH1,Neurogenic locus notch homolog protein 1;Notch 1 extracellular truncation;Notch 1 intracellular domain,7934300,9086700,6813500,3770100,6041400,4117200
P46736,BRCC3,Lys-63-specific deubiquitinase BRCC36,12872000,12242000,12312000,10497000,10995000,12758000
P46776,RPL27A,60S ribosomal protein L27a,339860000,418640000,398970000,673230000,589450000,609980000
P46777,RPL5,60S ribosomal protein L5,486670000,486790000,520800000,581890000,690530000,663180000
P46778,RPL21,60S ribosomal protein L21,256720000,276230000,256690000,347620000,393800000,463440000
P46779,RPL28,60S ribosomal protein L28,182510000,163590000,225250000,272240000,220480000,270720000
P46781,RPS9,40S ribosomal protein S9,488220000,546530000,581980000,824580000,696310000,876060000
P46782,RPS5,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed",769730000,960690000,863660000,1385500000,1086600000,1211000000
P46783,RPS10,40S ribosomal protein S10,1031200000,1046400000,1295300000,1128300000,1316300000,1771200000
P46821,MAP1B,Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1,10926000000,9388100000,8818000000,5893400000,6474900000,5496600000
P46926,GNPDA1,Glucosamine-6-phosphate isomerase 1,163070000,141250000,134760000,138940000,133570000,134570000
P46937,YAP1,Transcriptional coactivator YAP1,2355700,1493900,4786000,1089200,597980,1557600
P46939,UTRN,Utrophin,3992900,4358600,4157300,5315900,6942900,5355500
P46940,IQGAP1,Ras GTPase-activating-like protein IQGAP1,1192200000,1328600000,1109500000,359680000,372660000,321040000
P46976,GYG1,Glycogenin-1,58587000,66302000,45175000,23909000,23309000,24937000
P46977,STT3A,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,2370700,1941600,5529700,2077100,2744200,2159900
P47224,RABIF,Guanine nucleotide exchange factor MSS4,8049000,2766000,2968600,3801900,3282800,0
P47712,PLA2G4A,Cytosolic phospholipase A2;Phospholipase A2;Lysophospholipase,0,0,0,2418400,0,0
P47736,RAP1GAP,Rap1 GTPase-activating protein 1,5591700,3895100,5373100,6408100,5805200,4542100
P47755,CAPZA2,F-actin-capping protein subunit alpha-2,403050000,353880000,345940000,178330000,228130000,200910000
P47756,CAPZB,F-actin-capping protein subunit beta,319150000,292610000,300690000,250580000,278490000,295770000
P47813;O14602,EIF1AX;EIF1AY,"Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A, Y-chromosomal",33349000,21517000,35469000,38225000,32921000,33569000
P47895,ALDH1A3,Aldehyde dehydrogenase family 1 member A3,0,0,0,0,4191300,1714900
P47897,QARS,Glutamine--tRNA ligase,168860000,173050000,179290000,140830000,152340000,142590000
P47902,CDX1,Homeobox protein CDX-1,0,0,0,964060,0,0
P47914,RPL29,60S ribosomal protein L29,61397000,37571000,82470000,48021000,41214000,76756000
P47974,ZFP36L2,"Zinc finger protein 36, C3H1 type-like 2",2793500,0,2028900,1419700,1558100,1842300
P47985;P0C7P4,UQCRFS1;UQCRFS1P1,"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11;Putative cytochrome b-c1 complex subunit Rieske-like protein 1",75807000,107170000,103950000,120300000,87939000,103960000
P48029,SLC6A8,Sodium- and chloride-dependent creatine transporter 1,0,0,0,2029300,2045600,0
P48047,ATP5O,"ATP synthase subunit O, mitochondrial",530420000,687280000,656590000,714130000,710070000,798240000
P48059;Q7Z4I7,LIMS1;LIMS2,LIM and senescent cell antigen-like-containing domain protein 1;LIM and senescent cell antigen-like-containing domain protein 2,14290000,14253000,16145000,11090000,11355000,10946000
P48061,CXCL12,Stromal cell-derived factor 1;SDF-1-beta(3-72);SDF-1-alpha(3-67),0,0,0,0,933080,0
P48147,PREP,Prolyl endopeptidase,79265000,66024000,59793000,93175000,112720000,98888000
P48163,ME1,NADP-dependent malic enzyme,62347000,38548000,47224000,9039300,9398500,4698300
P48307,TFPI2,Tissue factor pathway inhibitor 2,750940000,958570000,835420000,263660000,358120000,314680000
P48380;P48378,RFX3;RFX2,Transcription factor RFX3;DNA-binding protein RFX2,3807800,6714100,0,0,3307200,5175000
P48426,PIP4K2A,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,17654000,19083000,14205000,32126000,43980000,23443000
P48431,SOX2,Transcription factor SOX-2,0,0,0,0,1941000,0
P48444,ARCN1,Coatomer subunit delta,197610000,173140000,186370000,123780000,137220000,131410000
P48449,LSS,Lanosterol synthase,17040000,13771000,20169000,25382000,18319000,24386000
P48506,GCLC,Glutamate--cysteine ligase catalytic subunit,82255000,68720000,65588000,26793000,29232000,28553000
P48507,GCLM,Glutamate--cysteine ligase regulatory subunit,43398000,38156000,34706000,17687000,13360000,10945000
P48509,CD151,CD151 antigen,4712600,0,9055000,1224300,1136500,0
P48539,PCP4,Purkinje cell protein 4,802560,0,0,0,0,0
P48553;A0A096LPH7,TRAPPC10,Trafficking protein particle complex subunit 10,5779200,6458600,6446600,4399400,5407700,0
P48556,PSMD8,26S proteasome non-ATPase regulatory subunit 8,227010000,252070000,223580000,271950000,272520000,285980000
P48634,PRRC2A,Protein PRRC2A,12196000,13881000,14462000,18620000,21898000,17076000
P48637,GSS,Glutathione synthetase,54169000,50720000,50010000,27672000,24945000,28344000
P48643,CCT5,T-complex protein 1 subunit epsilon,1384000000,1238600000,1268100000,1852100000,1964700000,1874400000
P48681,NES,Nestin,2817000000,2277000000,2619300000,1787600000,1722000000,1905000000
P48723,HSPA13,Heat shock 70 kDa protein 13,63539000,66452000,77853000,53303000,56989000,42424000
P48728,AMT,"Aminomethyltransferase, mitochondrial",2175000,2377900,3313100,10957000,8218300,8320600
P48729;Q8N752,CSNK1A1;CSNK1A1L,Casein kinase I isoform alpha;Casein kinase I isoform alpha-like,17054000,18555000,17845000,30415000,25818000,18918000
P48730,CSNK1D,Casein kinase I isoform delta,12992000,11337000,12115000,15518000,13469000,11059000
P48735,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",1676900000,1678000000,1703500000,1451700000,1360300000,1416900000
P48739,PITPNB,Phosphatidylinositol transfer protein beta isoform,47976000,38980000,33270000,61073000,70946000,52467000
P49005,POLD2,DNA polymerase delta subunit 2,0,0,0,0,4096000,0
P49006,MARCKSL1,MARCKS-related protein,229050000,295260000,250720000,292710000,378670000,313220000
P49023,PXN,Paxillin,18447000,13976000,18311000,7607000,7862700,5926800
P49069,CAMLG,Calcium signal-modulating cyclophilin ligand,8869600,17440000,16965000,14488000,13409000,0
P49137;Q96PN8;O43930;P51817,MAPKAPK2,MAP kinase-activated protein kinase 2,12169000,10313000,12565000,11169000,13693000,10302000
P49189,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase,268050000,275460000,267930000,167770000,188680000,160850000
P49207,RPL34,60S ribosomal protein L34,54899000,65756000,66318000,120010000,97989000,140390000
P49247,RPIA,Ribose-5-phosphate isomerase,0,1262700,1260200,4560500,4772000,6419100
P49257,LMAN1,Protein ERGIC-53,77871000,96144000,90550000,104320000,115840000,88083000
P49321,NASP,Nuclear autoantigenic sperm protein,185900000,168630000,205400000,718350000,800080000,755450000
P49327,FASN,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,1217200000,1083600000,1041700000,1638900000,1644100000,1702200000
P49336,CDK8,Cyclin-dependent kinase 8,0,0,0,0,0,523640
P49354,FNTA,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,31443000,20610000,20160000,19059000,28073000,18543000
P49356,FNTB,Protein farnesyltransferase subunit beta,9294800,5516300,7567100,4963900,4685000,3974700
P49366,DHPS,Deoxyhypusine synthase,7342900,5783800,5860000,8596100,9877700,8582900
P49368,CCT3,T-complex protein 1 subunit gamma,1365700000,1299200000,1201000000,1902800000,2205600000,1680300000
P49406,MRPL19,"39S ribosomal protein L19, mitochondrial",10858000,21933000,24487000,16083000,17159000,18508000
P49407;P10523,ARRB1,Beta-arrestin-1,4051800,3114000,0,21831000,22563000,22150000
P49411,TUFM,"Elongation factor Tu, mitochondrial",1302800000,1328700000,1467800000,1217800000,1305200000,1430500000
P49418,AMPH,Amphiphysin,18353000,21475000,12898000,19888000,17946000,15521000
P49419,ALDH7A1,Alpha-aminoadipic semialdehyde dehydrogenase,451240000,492630000,461860000,642850000,599160000,573290000
P49427,CDC34,Ubiquitin-conjugating enzyme E2 R1,8555600,7628700,6257400,13197000,13496000,15327000
P49441,INPP1,Inositol polyphosphate 1-phosphatase,3458600,2968200,0,0,0,0
P49448,GLUD2,"Glutamate dehydrogenase 2, mitochondrial",0,0,0,0,779740,0
P49454,CENPF,Centromere protein F,529940000,953710000,365130000,345410000,401120000,494690000
P49458,SRP9,Signal recognition particle 9 kDa protein,216950000,248220000,200070000,372030000,401040000,399400000
P49585;Q9Y5K3,PCYT1A,Choline-phosphate cytidylyltransferase A,5652300,7225100,6987100,5893700,4525500,5251500
P49588,AARS,"Alanine--tRNA ligase, cytoplasmic",1076000000,865060000,786620000,759790000,856290000,694780000
P49589,CARS,"Cysteine--tRNA ligase, cytoplasmic",255540000,248630000,200920000,102330000,118140000,104460000
P49590,HARS2,"Probable histidine--tRNA ligase, mitochondrial",15084000,28356000,24088000,27462000,27225000,19275000
P49591,SARS,"Serine--tRNA ligase, cytoplasmic",592700000,502310000,474320000,707640000,947000000,703920000
P49593,PPM1F,Protein phosphatase 1F,4036900,3707500,5685600,2173900,2396500,2762900
P49642,PRIM1,DNA primase small subunit,0,0,5592000,11911000,10700000,8953800
P49643,PRIM2,DNA primase large subunit,0,6062400,5499700,9293300,12240000,10158000
P49674,CSNK1E,Casein kinase I isoform epsilon,0,4509700,0,5986800,4130800,3864100
P49711;Q8NI51,CTCF,Transcriptional repressor CTCF,13895000,14949000,15961000,25706000,29312000,37294000
P49720,PSMB3,Proteasome subunit beta type-3,202940000,214780000,159020000,240720000,204440000,175870000
P49721,PSMB2,Proteasome subunit beta type-2,68773000,43145000,53069000,50316000,48738000,40653000
P49736,MCM2,DNA replication licensing factor MCM2,26191000,26071000,26038000,130080000,142810000,130840000
P49748,ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",722230000,744690000,849780000,411190000,395000000,370770000
P49750,YLPM1,YLP motif-containing protein 1,25647000,37242000,34712000,42950000,43993000,45640000
P49754,VPS41,Vacuolar protein sorting-associated protein 41 homolog,10714000,12136000,8931300,8163400,8850400,8526000
P49755,TMED10,Transmembrane emp24 domain-containing protein 10,180420000,139570000,158350000,140140000,128040000,134700000
P49756,RBM25,RNA-binding protein 25,67431000,70935000,96603000,91908000,82823000,95151000
P49757,NUMB,Protein numb homolog,4667700,0,3855700,3074800,2765300,0
P49758;P49802,RGS6;RGS7,Regulator of G-protein signaling 6;Regulator of G-protein signaling 7,0,0,1221200,0,0,0
P49759,CLK1,Dual specificity protein kinase CLK1,0,0,0,0,1156000,0
P49768,PSEN1,Presenilin-1;Presenilin-1 NTF subunit;Presenilin-1 CTF subunit;Presenilin-1 CTF12,2320100,2785200,2270400,0,0,0
P49770,EIF2B2,Translation initiation factor eIF-2B subunit beta,26489000,38700000,25337000,42736000,57610000,39408000
P49773,HINT1,Histidine triad nucleotide-binding protein 1,369860000,198970000,252970000,129700000,138310000,157520000
P49790,NUP153,Nuclear pore complex protein Nup153,20334000,24183000,21153000,35257000,36860000,32214000
P49792;P0DJD0;P0DJD1,RANBP2,E3 SUMO-protein ligase RanBP2,155900000,186520000,193850000,312190000,317400000,286350000
P49815,TSC2,Tuberin,9454700,9530800,8001000,10278000,9329300,9031600
P49821,NDUFV1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",76904000,71449000,83110000,66215000,68760000,63153000
P49840,GSK3A,Glycogen synthase kinase-3 alpha,18576000,15973000,8952800,14947000,16829000,10829000
P49841,GSK3B,Glycogen synthase kinase-3 beta,47893000,45124000,38938000,52482000,49160000,50403000
P49848,TAF6,Transcription initiation factor TFIID subunit 6,0,0,0,2423600,3238800,3056200
P49902,NT5C2,Cytosolic purine 5-nucleotidase,69530000,49242000,53218000,25149000,24483000,24002000
P49903,SEPHS1,"Selenide, water dikinase 1",55272000,63415000,62518000,56055000,71845000,57422000
P49914,MTHFS,5-formyltetrahydrofolate cyclo-ligase,2327000,0,1695400,3612700,5674900,2376000
P49915,GMPS,GMP synthase [glutamine-hydrolyzing],129650000,150650000,128200000,247930000,257270000,245940000
P49916,LIG3,DNA ligase 3,41871000,48126000,52049000,118570000,120080000,113760000
P49917,LIG4,DNA ligase 4,0,0,0,0,2427900,0
P49918,CDKN1C,Cyclin-dependent kinase inhibitor 1C,0,0,0,1884500,2699100,2364900
P49959,MRE11A,Double-strand break repair protein MRE11A,23224000,25501000,21995000,43702000,44857000,40417000
P50135,HNMT,Histamine N-methyltransferase,3982800,0,0,0,0,0
P50148,GNAQ,Guanine nucleotide-binding protein G(q) subunit alpha,65082000,66136000,66622000,75589000,72241000,61766000
P50151,GNG10,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10,0,0,0,0,2772200,0
P50213,IDH3A,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",57347000,62234000,87255000,41826000,41957000,32209000
P50225;P0DMN0;P0DMM9,SULT1A1;SULT1A4;SULT1A3,Sulfotransferase 1A1;Sulfotransferase 1A4;Sulfotransferase 1A3,1341600,0,1322400,1404300,2461200,1128500
P50238,CRIP1,Cysteine-rich protein 1,0,0,0,38364000,38258000,31828000
P50281,MMP14,Matrix metalloproteinase-14,10033000,9627500,10843000,0,0,0
P50336,PPOX,Protoporphyrinogen oxidase,0,0,4129200,0,0,0
P50395,GDI2,Rab GDP dissociation inhibitor beta,896530000,913640000,749320000,961530000,1029200000,841810000
P50402,EMD,Emerin,48268000,38335000,43197000,22517000,19125000,27132000
P50416;Q92523,CPT1A,"Carnitine O-palmitoyltransferase 1, liver isoform",15701000,19264000,22480000,10170000,11172000,9197500
P50440,GATM,"Glycine amidinotransferase, mitochondrial",42527000,28956000,35401000,52534000,52901000,42527000
P50452;O75830,SERPINB8,Serpin B8,6948600,7738900,3764100,3154300,3333200,0
P50453,SERPINB9,Serpin B9,22026000,17766000,15461000,453520000,492910000,408740000
P50454,SERPINH1,Serpin H1,1379600000,1741100000,1605700000,1398100000,1516500000,1379400000
P50479,PDLIM4,PDZ and LIM domain protein 4,17850000,16421000,12210000,8242600,6845100,9565800
P50502;Q8IZP2;Q8NFI4,ST13;ST13P4;ST13P5,Hsc70-interacting protein;Putative protein FAM10A4;Putative protein FAM10A5,758990000,757400000,663620000,671580000,828500000,610450000
P50542,PEX5,Peroxisomal targeting signal 1 receptor,22975000,24925000,15765000,21349000,22431000,18297000
P50552,VASP,Vasodilator-stimulated phosphoprotein,22596000,21121000,17892000,31847000,32636000,26039000
P50570,DNM2,Dynamin-2,411040000,446400000,348680000,295150000,358000000,320870000
P50579,METAP2,Methionine aminopeptidase 2,29484000,26094000,25601000,24360000,29288000,27796000
P50583,NUDT2,Bis(5-nucleosyl)-tetraphosphatase [asymmetrical],39348000,39191000,27960000,42238000,46626000,44942000
P50607,TUB,Tubby protein homolog,460020,0,0,0,0,0
P50613,CDK7,Cyclin-dependent kinase 7,1819200,0,0,0,0,0
P50747,HLCS,Biotin--protein ligase;Biotin--[methylmalonyl-CoA-carboxytransferase] ligase;Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase;Biotin--[methylcrotonoyl-CoA-carboxylase] ligase;Biotin--[acetyl-CoA-carboxylase] ligase,1669800,1041500,1408300,1249300,1277700,1322700
P50748,KNTC1,Kinetochore-associated protein 1,4270600,4642500,3666300,9525200,9572300,7368300
P50749;Q9H2L5,RASSF2,Ras association domain-containing protein 2,12323000,11857000,8770500,14164000,16966000,13176000
P50750,CDK9,Cyclin-dependent kinase 9,8333600,11049000,9027200,18675000,22909000,21954000
P50851,LRBA,Lipopolysaccharide-responsive and beige-like anchor protein,7267300,8019400,6301200,10466000,10269000,8779900
P50895,BCAM,Basal cell adhesion molecule,0,0,0,0,2105300,0
P50897,PPT1,Palmitoyl-protein thioesterase 1,270360000,300910000,294480000,218320000,247010000,238150000
P50914,RPL14,60S ribosomal protein L14,429710000,435990000,514290000,569600000,478000000,634070000
P50990,CCT8,T-complex protein 1 subunit theta,1248200000,986470000,1078700000,1596800000,1651100000,1495300000
P50991,CCT4,T-complex protein 1 subunit delta,1087700000,1042400000,944320000,1484500000,1511100000,1571800000
P50993;P54707;P20648,ATP1A2,Sodium/potassium-transporting ATPase subunit alpha-2,0,0,0,2841600,0,0
P50995;P27216,ANXA11,Annexin A11,14398000,14746000,16481000,17968000,12825000,12526000
P51003;Q9NRJ5;Q9BWT3,PAPOLA,Poly(A) polymerase alpha,11703000,11421000,9289500,21340000,21329000,20129000
P51114,FXR1,Fragile X mental retardation syndrome-related protein 1,112630000,106270000,125450000,153090000,138240000,145790000
P51116,FXR2,Fragile X mental retardation syndrome-related protein 2,38051000,41248000,48613000,44250000,39178000,41668000
P51148,RAB5C,Ras-related protein Rab-5C,339400000,308550000,401100000,299090000,313880000,295920000
P51149,RAB7A,Ras-related protein Rab-7a,736140000,788940000,757520000,630650000,650520000,601760000
P51151,RAB9A,Ras-related protein Rab-9A,51765000,57882000,41071000,34934000,39282000,35168000
P51153,RAB13,Ras-related protein Rab-13,40519000,47805000,37980000,19074000,23015000,17008000
P51157,RAB28,Ras-related protein Rab-28,2641800,2298200,2239500,4133600,3161000,3068000
P51178,PLCD1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1",67319000,57347000,48824000,41993000,48356000,48540000
P51398,DAP3,"28S ribosomal protein S29, mitochondrial",63537000,63731000,67628000,79136000,71609000,57991000
P51452,DUSP3,Dual specificity protein phosphatase 3,54345000,73965000,35895000,39085000,52278000,44038000
P51511,MMP15,Matrix metalloproteinase-15,0,0,0,5228600,0,0
P51513,NOVA1,RNA-binding protein Nova-1,35934000,35340000,35613000,14582000,14845000,12287000
P51531,SMARCA2,Probable global transcription activator SNF2L2,0,2583200,0,0,0,0
P51532,SMARCA4,Transcription activator BRG1,30623000,45695000,41607000,86196000,85858000,95925000
P51553,IDH3G,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",31665000,32363000,29984000,14344000,17418000,13799000
P51570,GALK1,Galactokinase,18271000,19225000,19509000,15392000,20028000,24147000
P51571,SSR4,Translocon-associated protein subunit delta,28314000,23128000,36439000,14058000,14622000,15697000
P51572,BCAP31,B-cell receptor-associated protein 31,58611000,67892000,105900000,31023000,31315000,37233000
P51580,TPMT,Thiopurine S-methyltransferase,11399000,13669000,9578800,10868000,10943000,11729000
P51606,RENBP,N-acylglucosamine 2-epimerase,0,0,0,0,799040,0
P51608,MECP2,Methyl-CpG-binding protein 2,72784000,65436000,87710000,58512000,39654000,46236000
P51610,HCFC1,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6,132970000,141790000,149400000,209690000,195420000,211640000
P51648;P48448;P30838;P43353,ALDH3A2,Fatty aldehyde dehydrogenase,144140000,128000000,160090000,148690000,145130000,126300000
