Protein_IDs,Gene_names,Protein_names
P17931,LGALS3,Galectin-3
P17980,PSMC3,26S protease regulatory subunit 6A
P17987,TCP1,T-complex protein 1 subunit alpha
P18031,PTPN1,Tyrosine-protein phosphatase non-receptor type 1
P18065,IGFBP2,Insulin-like growth factor-binding protein 2
P18074,ERCC2,TFIIH basal transcription factor complex helicase XPD subunit
P18077,RPL35A,60S ribosomal protein L35a
P18084,ITGB5,Integrin beta-5
P18085,ARF4,ADP-ribosylation factor 4
P18124,RPL7,60S ribosomal protein L7
P18206,VCL,Vinculin
P18583,SON,Protein SON
P18615,NELFE,Negative elongation factor E
P18621,RPL17,60S ribosomal protein L17
P18669;Q8N0Y7,PGAM1,Phosphoglycerate mutase 1
P18754,RCC1,Regulator of chromosome condensation
P18858,LIG1,DNA ligase 1
P18859,ATP5J,"ATP synthase-coupling factor 6, mitochondrial"
P18887,XRCC1,DNA repair protein XRCC1
P19021,PAM,Peptidyl-glycine alpha-amidating monooxygenase;Peptidylglycine alpha-hydroxylating monooxygenase;Peptidyl-alpha-hydroxyglycine alpha-amidating lyase
P19022,CDH2,Cadherin-2
P19086,GNAZ,Guanine nucleotide-binding protein G(z) subunit alpha
P19174,PLCG1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"
P19320,VCAM1,Vascular cell adhesion protein 1
P19338,NCL,Nucleolin
P19367,HK1,Hexokinase-1
P19387,POLR2C,DNA-directed RNA polymerase II subunit RPB3
P19388,POLR2E,"DNA-directed RNA polymerases I, II, and III subunit RPABC1"
P19404,NDUFV2,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial"
P19474,TRIM21,E3 ubiquitin-protein ligase TRIM21
P19525,EIF2AK2,"Interferon-induced, double-stranded RNA-activated protein kinase"
P19623,SRM,Spermidine synthase
P19784,CSNK2A2,Casein kinase II subunit alpha
P19838,NFKB1,Nuclear factor NF-kappa-B p105 subunit;Nuclear factor NF-kappa-B p50 subunit
P20020,ATP2B1,Plasma membrane calcium-transporting ATPase 1
P20042,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2
P20073,ANXA7,Annexin A7
P20226;Q6SJ96,TBP;TBPL2,TATA-box-binding protein;TATA box-binding protein-like protein 2
P20248;P78396,CCNA2;CCNA1,Cyclin-A2;Cyclin-A1
P20264;P49335,POU3F3,"POU domain, class 3, transcription factor 3"
P20265;Q03052,POU3F2,"POU domain, class 3, transcription factor 2"
P20290,BTF3,Transcription factor BTF3
P20336,RAB3A,Ras-related protein Rab-3A
P20337,RAB3B,Ras-related protein Rab-3B
P20338,RAB4A,Ras-related protein Rab-4A
P20339,RAB5A,Ras-related protein Rab-5A
P20340,RAB6A,Ras-related protein Rab-6A
P20585,MSH3,DNA mismatch repair protein Msh3
P20591,MX1,"Interferon-induced GTP-binding protein Mx1;Interferon-induced GTP-binding protein Mx1, N-terminally processed"
P20618,PSMB1,Proteasome subunit beta type-1
P20645,M6PR,Cation-dependent mannose-6-phosphate receptor
P20674,COX5A,"Cytochrome c oxidase subunit 5A, mitochondrial"
P20700,LMNB1,Lamin-B1
P20810,CAST,Calpastatin
P20839,IMPDH1,Inosine-5-monophosphate dehydrogenase 1
P20933,AGA,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase;Glycosylasparaginase alpha chain;Glycosylasparaginase beta chain
P20936,RASA1,Ras GTPase-activating protein 1
P20962,PTMS,Parathymosin
P21266,GSTM3,Glutathione S-transferase Mu 3
P21281;P15313,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform"
P21283;Q8NEY4,ATP6V1C1,V-type proton ATPase subunit C 1
P21291,CSRP1,Cysteine and glycine-rich protein 1
P21333,FLNA,Filamin-A
P21359,NF1,Neurofibromin;Neurofibromin truncated
P21397,MAOA,Amine oxidase [flavin-containing] A
P21399,ACO1,Cytoplasmic aconitate hydratase
P21579,SYT1,Synaptotagmin-1
P21589,NT5E,5-nucleotidase
P21695,GPD1,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic"
P21741,MDK,Midkine
P21796,VDAC1,Voltage-dependent anion-selective channel protein 1
P21810,BGN,Biglycan
P21912,SDHB,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial"
P21926,CD9,CD9 antigen
P21953,BCKDHB,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"
P21964,COMT,Catechol O-methyltransferase
P22033,MUT,"Methylmalonyl-CoA mutase, mitochondrial"
P22059;Q969R2,OSBP,Oxysterol-binding protein 1
P22061,PCMT1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase
P22087,FBL,rRNA 2-O-methyltransferase fibrillarin
P22090,RPS4Y1,"40S ribosomal protein S4, Y isoform 1"
P22102,GART,Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase
P22234,PAICS,Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase
P22304,IDS,Iduronate 2-sulfatase;Iduronate 2-sulfatase 42 kDa chain;Iduronate 2-sulfatase 14 kDa chain
P22307,SCP2,Non-specific lipid-transfer protein
P22314,UBA1,Ubiquitin-like modifier-activating enzyme 1
P22352,GPX3,Glutathione peroxidase 3
P22392;O60361,NME2;NME2P1,Nucleoside diphosphate kinase B;Putative nucleoside diphosphate kinase
P22570,FDXR,"NADPH:adrenodoxin oxidoreductase, mitochondrial"
P22607,FGFR3,Fibroblast growth factor receptor 3
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1
P22670,RFX1,MHC class II regulatory factor RFX1
P22681,CBL,E3 ubiquitin-protein ligase CBL
P22692,IGFBP4,Insulin-like growth factor-binding protein 4
P22695,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial"
P22830,FECH,"Ferrochelatase, mitochondrial"
P23025,XPA,DNA repair protein complementing XP-A cells
P23193;Q15560,TCEA1,Transcription elongation factor A protein 1
P23229,ITGA6,Integrin alpha-6;Integrin alpha-6 heavy chain;Integrin alpha-6 light chain;Processed integrin alpha-6
P23246,SFPQ,"Splicing factor, proline- and glutamine-rich"
P23258;Q9NRH3,TUBG1;TUBG2,Tubulin gamma-1 chain;Tubulin gamma-2 chain
P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B
P23352,KAL1,Anosmin-1
P23368,ME2,"NAD-dependent malic enzyme, mitochondrial"
P23378,GLDC,"Glycine dehydrogenase (decarboxylating), mitochondrial"
P23381,WARS,"Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS"
P23396,RPS3,40S ribosomal protein S3
P23434,GCSH,"Glycine cleavage system H protein, mitochondrial"
P23443;Q9UBS0,RPS6KB1;RPS6KB2,Ribosomal protein S6 kinase beta-1;Ribosomal protein S6 kinase beta-2
P23471,PTPRZ1,Receptor-type tyrosine-protein phosphatase zeta
P23526,AHCY,Adenosylhomocysteinase
P23528,CFL1,Cofilin-1
P23560,BDNF,Brain-derived neurotrophic factor
P23588,EIF4B,Eukaryotic translation initiation factor 4B
P23610,F8A1,Factor VIII intron 22 protein
P23634,ATP2B4,Plasma membrane calcium-transporting ATPase 4
P23743,DGKA,Diacylglycerol kinase alpha
P23786,CPT2,"Carnitine O-palmitoyltransferase 2, mitochondrial"
P23919,DTYMK,Thymidylate kinase
P23921,RRM1,Ribonucleoside-diphosphate reductase large subunit
P24534,EEF1B2,Elongation factor 1-beta
P24539,ATP5F1,"ATP synthase F(0) complex subunit B1, mitochondrial"
P24593,IGFBP5,Insulin-like growth factor-binding protein 5
P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase
P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial"
P24821,TNC,Tenascin
P24928,POLR2A,DNA-directed RNA polymerase II subunit RPB1
P25205,MCM3,DNA replication licensing factor MCM3
P25325,MPST,3-mercaptopyruvate sulfurtransferase
P25391,LAMA1,Laminin subunit alpha-1
P25398,RPS12,40S ribosomal protein S12
P25440,BRD2,Bromodomain-containing protein 2
P25445,FAS,Tumor necrosis factor receptor superfamily member 6
P25490;O15391,YY1;YY2,Transcriptional repressor protein YY1;Transcription factor YY2
P25685,DNAJB1,DnaJ homolog subfamily B member 1
P25686,DNAJB2,DnaJ homolog subfamily B member 2
P25705,ATP5A1,"ATP synthase subunit alpha, mitochondrial"
P25786,PSMA1,Proteasome subunit alpha type-1
P25787,PSMA2,Proteasome subunit alpha type-2
P25788,PSMA3,Proteasome subunit alpha type-3
P25789,PSMA4,Proteasome subunit alpha type-4
P26006,ITGA3,Integrin alpha-3;Integrin alpha-3 heavy chain;Integrin alpha-3 light chain
P26012,ITGB8,Integrin beta-8
P26038,MSN,Moesin
P26196,DDX6,Probable ATP-dependent RNA helicase DDX6
P26232,CTNNA2,Catenin alpha-2
P26358,DNMT1,DNA (cytosine-5)-methyltransferase 1
P26367,PAX6,Paired box protein Pax-6
P26368,U2AF2,Splicing factor U2AF 65 kDa subunit
P26373,RPL13,60S ribosomal protein L13
P26374,CHML,Rab proteins geranylgeranyltransferase component A 2
P26378,ELAVL4,ELAV-like protein 4
P26440,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial"
P26447,S100A4,Protein S100-A4
P26583,HMGB2,High mobility group protein B2
P26599,PTBP1,Polypyrimidine tract-binding protein 1
P26639,TARS,"Threonine--tRNA ligase, cytoplasmic"
P26640,VARS,Valine--tRNA ligase
P26641,EEF1G,Elongation factor 1-gamma
P26885,FKBP2,Peptidyl-prolyl cis-trans isomerase FKBP2
P26992,CNTFR,Ciliary neurotrophic factor receptor subunit alpha
P27105,STOM,Erythrocyte band 7 integral membrane protein
P27144,AK4,"Adenylate kinase 4, mitochondrial"
P27338,MAOB,Amine oxidase [flavin-containing] B
P27348,YWHAQ,14-3-3 protein theta
P27361,MAPK3,Mitogen-activated protein kinase 3
P27448,MARK3,MAP/microtubule affinity-regulating kinase 3
P27544,CERS1,Ceramide synthase 1
P27635;Q96L21,RPL10;RPL10L,60S ribosomal protein L10;60S ribosomal protein L10-like
P27694,RPA1,"Replication protein A 70 kDa DNA-binding subunit;Replication protein A 70 kDa DNA-binding subunit, N-terminally processed"
P27695,APEX1,"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial"
P27707,DCK,Deoxycytidine kinase
P27708,CAD,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase
P27797,CALR,Calreticulin
P27816,MAP4,Microtubule-associated protein 4
P27824,CANX,Calnexin
P27987;Q96DU7,ITPKB,Inositol-trisphosphate 3-kinase B
P28066,PSMA5,Proteasome subunit alpha type-5
P28070,PSMB4,Proteasome subunit beta type-4
P28072,PSMB6,Proteasome subunit beta type-6
P28074,PSMB5,Proteasome subunit beta type-5
P28161,GSTM2,Glutathione S-transferase Mu 2
P28288,ABCD3,ATP-binding cassette sub-family D member 3
P28289,TMOD1,Tropomodulin-1
P28331,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial"
P28340,POLD1,DNA polymerase delta catalytic subunit
P28347;Q15561;Q99594;Q15562,TEAD1;TEAD4;TEAD3;TEAD2,Transcriptional enhancer factor TEF-1;Transcriptional enhancer factor TEF-3;Transcriptional enhancer factor TEF-5;Transcriptional enhancer factor TEF-4
P28370,SMARCA1,Probable global transcription activator SNF2L1
P28482,MAPK1,Mitogen-activated protein kinase 1
P28676,GCA,Grancalcin
P28702;P48443,RXRB,Retinoic acid receptor RXR-beta
P28799,GRN,Granulins;Acrogranin;Paragranulin;Granulin-1;Granulin-2;Granulin-3;Granulin-4;Granulin-5;Granulin-6;Granulin-7
P28838,LAP3,Cytosol aminopeptidase
P28906,CD34,Hematopoietic progenitor cell antigen CD34
P29083,GTF2E1,General transcription factor IIE subunit 1
P29084,GTF2E2,Transcription initiation factor IIE subunit beta
P29120,PCSK1,Neuroendocrine convertase 1
P29144,TPP2,Tripeptidyl-peptidase 2
P29218,IMPA1,Inositol monophosphatase 1
P29279,CTGF,Connective tissue growth factor
P29317,EPHA2,Ephrin type-A receptor 2
P29320,EPHA3,Ephrin type-A receptor 3
P29323;P54762;Q9UF33,EPHB2,Ephrin type-B receptor 2
P29353;P98077,SHC1,SHC-transforming protein 1
P29372,MPG,DNA-3-methyladenine glycosylase
P29373,CRABP2,Cellular retinoic acid-binding protein 2
P29375,KDM5A,Lysine-specific demethylase 5A
P29401,TKT,Transketolase
P29558;Q6XE24,RBMS1,"RNA-binding motif, single-stranded-interacting protein 1"
P29590,PML,Protein PML
P29692,EEF1D,Elongation factor 1-delta
P29762,CRABP1,Cellular retinoic acid-binding protein 1
P29966,MARCKS,Myristoylated alanine-rich C-kinase substrate
P29992,GNA11,Guanine nucleotide-binding protein subunit alpha-11
P30038,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"
P30039,PBLD,Phenazine biosynthesis-like domain-containing protein
P30040,ERP29,Endoplasmic reticulum resident protein 29
P30041,PRDX6,Peroxiredoxin-6
P30043,BLVRB,Flavin reductase (NADPH)
P30044,PRDX5,"Peroxiredoxin-5, mitochondrial"
P30046;A6NHG4,DDT;DDTL,D-dopachrome decarboxylase;D-dopachrome decarboxylase-like protein
P30048,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial"
P30049,ATP5D,"ATP synthase subunit delta, mitochondrial"
P30050,RPL12,60S ribosomal protein L12
P30084,ECHS1,"Enoyl-CoA hydratase, mitochondrial"
P30085,CMPK1,UMP-CMP kinase
P30086,PEBP1,Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide
P30101,PDIA3,Protein disulfide-isomerase A3
P30153,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
P30154,PPP2R1B,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform
P30260,CDC27,Cell division cycle protein 27 homolog
P30405,PPIF,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
P30419,NMT1,Glycylpeptide N-tetradecanoyltransferase 1
P30519,HMOX2,Heme oxygenase 2
P30520,ADSS,Adenylosuccinate synthetase isozyme 2
P30533,LRPAP1,Alpha-2-macroglobulin receptor-associated protein
P30566,ADSL,Adenylosuccinate lyase
P30622,CLIP1,CAP-Gly domain-containing linker protein 1
P30626,SRI,Sorcin
P30711;P0CG30;P0CG29,GSTT1,Glutathione S-transferase theta-1
P30740,SERPINB1,Leukocyte elastase inhibitor
P30837,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial"
P30876,POLR2B,DNA-directed RNA polymerase II subunit RPB2
P31040,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
P31146,CORO1A,Coronin-1A
P31150,GDI1,Rab GDP dissociation inhibitor alpha
P31153;Q00266,MAT2A,S-adenosylmethionine synthase isoform type-2
P31321,PRKAR1B,cAMP-dependent protein kinase type I-beta regulatory subunit
P31323,PRKAR2B,cAMP-dependent protein kinase type II-beta regulatory subunit
P31327,CPS1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial"
P31483,TIA1,Nucleolysin TIA-1 isoform p40
P31689,DNAJA1,DnaJ homolog subfamily A member 1
P31751,AKT2,RAC-beta serine/threonine-protein kinase
P31930,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial"
P31937,HIBADH,"3-hydroxyisobutyrate dehydrogenase, mitochondrial"
P31939,ATIC,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase
P31942,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3
P31943,HNRNPH1,"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed"
P31946,YWHAB,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed"
P31948,STIP1,Stress-induced-phosphoprotein 1
P31949,S100A11,"Protein S100-A11;Protein S100-A11, N-terminally processed"
P32004,L1CAM,Neural cell adhesion molecule L1
P32119,PRDX2,Peroxiredoxin-2
P32121,ARRB2,Beta-arrestin-2
P32189;Q14409;Q14410,GK;GK3P,Glycerol kinase;Putative glycerol kinase 3
P32321,DCTD,Deoxycytidylate deaminase
P32322,PYCR1,"Pyrroline-5-carboxylate reductase 1, mitochondrial"
P32780,GTF2H1,General transcription factor IIH subunit 1
P32929,CTH,Cystathionine gamma-lyase
P32969,RPL9,60S ribosomal protein L9
P33121;Q9ULC5,ACSL1,Long-chain-fatty-acid--CoA ligase 1
P33176,KIF5B,Kinesin-1 heavy chain
P33240,CSTF2,Cleavage stimulation factor subunit 2
P33316,DUT,"Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial"
P33527,ABCC1,Multidrug resistance-associated protein 1
P33552,CKS2,Cyclin-dependent kinases regulatory subunit 2
P33897;Q9UBJ2,ABCD1,ATP-binding cassette sub-family D member 1
P33991,MCM4,DNA replication licensing factor MCM4
P33992,MCM5,DNA replication licensing factor MCM5
P33993,MCM7,DNA replication licensing factor MCM7
P34896,SHMT1,"Serine hydroxymethyltransferase, cytosolic"
P34897,SHMT2,"Serine hydroxymethyltransferase, mitochondrial"
P34913,EPHX2,Bifunctional epoxide hydrolase 2;Cytosolic epoxide hydrolase 2;Lipid-phosphate phosphatase
P34932,HSPA4,Heat shock 70 kDa protein 4
P34947;P32298,GRK5,G protein-coupled receptor kinase 5
P34949,MPI,Mannose-6-phosphate isomerase
P35052,GPC1,Glypican-1;Secreted glypican-1
P35080,PFN2,Profilin-2
P35221;Q9UI47,CTNNA1,Catenin alpha-1
P35222,CTNNB1,Catenin beta-1
P35227;P35226,PCGF2;BMI1,Polycomb group RING finger protein 2;Polycomb complex protein BMI-1
P35232,PHB,Prohibitin
P35237,SERPINB6,Serpin B6
P35240,NF2,Merlin
P35241,RDX,Radixin
P35244,RPA3,Replication protein A 14 kDa subunit
P35249,RFC4,Replication factor C subunit 4
P35250,RFC2,Replication factor C subunit 2
P35251,RFC1,Replication factor C subunit 1
P35268,RPL22,60S ribosomal protein L22
P35269,GTF2F1,General transcription factor IIF subunit 1
P35442,THBS2,Thrombospondin-2
P35475,IDUA,Alpha-L-iduronidase
P35556;P35555,FBN2,Fibrillin-2
P35558,PCK1,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]"
P35573,AGL,"Glycogen debranching enzyme;4-alpha-glucanotransferase;Amylo-alpha-1,6-glucosidase"
P35580;P13535;P11055,MYH10,Myosin-10
P35606,COPB2,Coatomer subunit beta
P35610,SOAT1,Sterol O-acyltransferase 1
P35611,ADD1,Alpha-adducin
P35612,ADD2,Beta-adducin
P35613,BSG,Basigin
P35625,TIMP3,Metalloproteinase inhibitor 3
P35637,FUS,RNA-binding protein FUS
P35658,NUP214,Nuclear pore complex protein Nup214
P35659,DEK,Protein DEK
P35711,SOX5,Transcription factor SOX-5
P35754,GLRX,Glutaredoxin-1
P35813,PPM1A,Protein phosphatase 1A
P35914;Q8TB92,HMGCL,"Hydroxymethylglutaryl-CoA lyase, mitochondrial"
P35998,PSMC2,26S protease regulatory subunit 7
P36021,SLC16A2,Monocarboxylate transporter 8
P36404,ARL2,ADP-ribosylation factor-like protein 2
P36405,ARL3,ADP-ribosylation factor-like protein 3
P36507;A0A1B0GUL7,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2
P36542,ATP5C1,"ATP synthase subunit gamma, mitochondrial"
P36543;Q96A05,ATP6V1E1,V-type proton ATPase subunit E 1
P36551,CPOX,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial"
P36578,RPL4,60S ribosomal protein L4
P36776,LONP1,"Lon protease homolog, mitochondrial"
P36871,PGM1,Phosphoglucomutase-1
P36873,PPP1CC,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
P36915,GNL1,Guanine nucleotide-binding protein-like 1
P36954,POLR2I,DNA-directed RNA polymerase II subunit RPB9
P36957,DLST,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial"
P36969,GPX4,"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial"
P37108,SRP14,Signal recognition particle 14 kDa protein
P37198,NUP62,Nuclear pore glycoprotein p62
P37235;P84074,HPCAL1,Hippocalcin-like protein 1
P37268,FDFT1,Squalene synthase
P37275,ZEB1,Zinc finger E-box-binding homeobox 1
P37802,TAGLN2,Transgelin-2
P37837,TALDO1,Transaldolase
P37840;Q16143,SNCA,Alpha-synuclein
P38117,ETFB,Electron transfer flavoprotein subunit beta
P38159;O75526;Q8N7X1,RBMX,"RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed"
P38432,COIL,Coilin
P38571,LIPA,Lysosomal acid lipase/cholesteryl ester hydrolase
P38606,ATP6V1A,V-type proton ATPase catalytic subunit A
P38646,HSPA9,"Stress-70 protein, mitochondrial"
P38919,EIF4A3,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed"
P39019,RPS19,40S ribosomal protein S19
P39023;Q92901,RPL3,60S ribosomal protein L3
P39060,COL18A1,Collagen alpha-1(XVIII) chain;Endostatin
P39210,MPV17,Protein Mpv17
P39656,DDOST,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit
P39687;O43423;O95626,ANP32A,Acidic leucine-rich nuclear phosphoprotein 32 family member A
P39748,FEN1,Flap endonuclease 1
P39880,CUX1,Homeobox protein cut-like 1
P39905,GDNF,Glial cell line-derived neurotrophic factor
P40121,CAPG,Macrophage-capping protein
P40123,CAP2,Adenylyl cyclase-associated protein 2
P40189,IL6ST,Interleukin-6 receptor subunit beta
P40222,TXLNA,Alpha-taxilin
P40227,CCT6A,T-complex protein 1 subunit zeta
P40261,NNMT,Nicotinamide N-methyltransferase
P40424,PBX1,Pre-B-cell leukemia transcription factor 1
P40426,PBX3,Pre-B-cell leukemia transcription factor 3
P40429;Q6NVV1,RPL13A,60S ribosomal protein L13a
P40616,ARL1,ADP-ribosylation factor-like protein 1
P40692,MLH1,DNA mismatch repair protein Mlh1
P40763,STAT3,Signal transducer and activator of transcription 3
P40818,USP8,Ubiquitin carboxyl-terminal hydrolase 8
P40855,PEX19,Peroxisomal biogenesis factor 19
P40925,MDH1,"Malate dehydrogenase, cytoplasmic"
P40926,MDH2,"Malate dehydrogenase, mitochondrial"
P40937,RFC5,Replication factor C subunit 5
P40938,RFC3,Replication factor C subunit 3
P40939,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase"
P41091;Q2VIR3,EIF2S3;EIF2S3L,Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein
P41208;Q12798,CETN2,Centrin-2
P41214,EIF2D,Eukaryotic translation initiation factor 2D
P41217,CD200,OX-2 membrane glycoprotein
P41219,PRPH,Peripherin
P41223,BUD31,Protein BUD31 homolog
P41227;Q9BSU3,NAA10,N-alpha-acetyltransferase 10
P41236;Q6NXS1,PPP1R2;PPP1R2P3,Protein phosphatase inhibitor 2;Protein phosphatase inhibitor 2-like protein 3
P41240;P42679,CSK,Tyrosine-protein kinase CSK
P41250,GARS,Glycine--tRNA ligase
P41252,IARS,"Isoleucine--tRNA ligase, cytoplasmic"
P41567,EIF1,Eukaryotic translation initiation factor 1
P41743,PRKCI,Protein kinase C iota type
P42025,ACTR1B,Beta-centractin
P42126,ECI1,"Enoyl-CoA delta isomerase 1, mitochondrial"
P42166,TMPO,"Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin"
P42285,SKIV2L2,Superkiller viralicidic activity 2-like 2
P42336,PIK3CA,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"
P42345,MTOR,Serine/threonine-protein kinase mTOR
P42356;A4QPH2;Q8N8J0,PI4KA,Phosphatidylinositol 4-kinase alpha
P42566,EPS15,Epidermal growth factor receptor substrate 15
P42574,CASP3,Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12
P42658,DPP6,Dipeptidyl aminopeptidase-like protein 6
P42677,RPS27,40S ribosomal protein S27
P42684,ABL2,Abelson tyrosine-protein kinase 2
P42694,HELZ,Probable helicase with zinc finger domain
P42696,RBM34,RNA-binding protein 34
P42704,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial"
P42765,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial"
P42766,RPL35,60S ribosomal protein L35
P42785,PRCP,Lysosomal Pro-X carboxypeptidase
P42858,HTT,Huntingtin
P42892,ECE1,Endothelin-converting enzyme 1
P42898,MTHFR,Methylenetetrahydrofolate reductase
P43003;P48664,SLC1A3,Excitatory amino acid transporter 1
P43007,SLC1A4,Neutral amino acid transporter A
P43034,PAFAH1B1,Platelet-activating factor acetylhydrolase IB subunit alpha
P43121,MCAM,Cell surface glycoprotein MUC18
P43146,DCC,Netrin receptor DCC
P43155,CRAT,Carnitine O-acetyltransferase
P43234,CTSO,Cathepsin O
P43243,MATR3,Matrin-3
P43246,MSH2,DNA mismatch repair protein Msh2
P43304,GPD2,"Glycerol-3-phosphate dehydrogenase, mitochondrial"
P43307,SSR1,Translocon-associated protein subunit alpha
P43378,PTPN9,Tyrosine-protein phosphatase non-receptor type 9
P43487,RANBP1,Ran-specific GTPase-activating protein
P43490,NAMPT,Nicotinamide phosphoribosyltransferase
P43686,PSMC4,26S protease regulatory subunit 6B
P43897,TSFM,"Elongation factor Ts, mitochondrial"
P45877,PPIC,Peptidyl-prolyl cis-trans isomerase C
P45880,VDAC2,Voltage-dependent anion-selective channel protein 2
P45954,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
P45973,CBX5,Chromobox protein homolog 5
P45974,USP5,Ubiquitin carboxyl-terminal hydrolase 5
P45983,MAPK8,Mitogen-activated protein kinase 8
P45985,MAP2K4,Dual specificity mitogen-activated protein kinase kinase 4
P46013,MKI67,Antigen KI-67
P46019,PHKA2,"Phosphorylase b kinase regulatory subunit alpha, liver isoform"
P46060,RANGAP1,Ran GTPase-activating protein 1
P46063,RECQL,ATP-dependent DNA helicase Q1
P46087,NOP2,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase
P46100,ATRX,Transcriptional regulator ATRX
P46108,CRK,Adapter molecule crk
P46109,CRKL,Crk-like protein
P46199,MTIF2,"Translation initiation factor IF-2, mitochondrial"
P46379,BAG6,Large proline-rich protein BAG6
P46459,NSF,Vesicle-fusing ATPase
P46531,NOTCH1,Neurogenic locus notch homolog protein 1;Notch 1 extracellular truncation;Notch 1 intracellular domain
P46736,BRCC3,Lys-63-specific deubiquitinase BRCC36
P46776,RPL27A,60S ribosomal protein L27a
P46777,RPL5,60S ribosomal protein L5
P46778,RPL21,60S ribosomal protein L21
P46779,RPL28,60S ribosomal protein L28
P46781,RPS9,40S ribosomal protein S9
P46782,RPS5,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed"
P46783,RPS10,40S ribosomal protein S10
P46821,MAP1B,Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1
P46926,GNPDA1,Glucosamine-6-phosphate isomerase 1
P46937,YAP1,Transcriptional coactivator YAP1
P46939,UTRN,Utrophin
P46940,IQGAP1,Ras GTPase-activating-like protein IQGAP1
P46976,GYG1,Glycogenin-1
P46977,STT3A,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A
P47224,RABIF,Guanine nucleotide exchange factor MSS4
P47736,RAP1GAP,Rap1 GTPase-activating protein 1
